,name,category,sim
113,무청감자탕 한강미사점,식당,tensor([[0.2702]])
114,브런치&카페 알로(Brunch&Cafe allo),카페,tensor([[0.2887]])
115,철길부산집 하남감일점,식당,tensor([[0.2339]])
116,미사맛집 배째 닭한마리 칼국수,고기,tensor([[0.3091]])
117,하남냉삼0458,한식당,tensor([[0.3470]])
118,청년분식 하남미사점,분식,tensor([[0.2323]])
119,콘부 스타필드하남,일식당,tensor([[0.3583]])
120,바우네 나주곰탕 감일점,일식당,0.0
121,한신포차 하남감일점,식당,tensor([[0.2672]])
122,응큼떡볶이 미사점,식당,0.0
123,홍미닭발 하남미사점,고기,tensor([[0.3234]])
124,요네즈,일식당,tensor([[0.3623]])
125,정오리 돌판구이,한식당,tensor([[0.2783]])
126,79대포 하남풍산점,식당,tensor([[0.2435]])
127,춘향골 남원추어탕 미사점,식당,tensor([[0.1896]])
128,오모로이 쇼쿠도,식당,tensor([[0.2661]])
129,리리삼,고기,tensor([[0.2810]])
130,도마르 스시,일식집,tensor([[0.2653]])
131,젠가든(Zen Garden),일식당,tensor([[0.2588]])
132,스시 시오미즈,일식당,tensor([[0.2244]])
133,박승광 해물 손칼국수 하남미사점,분식,tensor([[0.1503]])
134,카페 아리온,카페,tensor([[0.3089]])
135,김복남맥주 하남미사역점,호프,tensor([[0.2887]])
136,투다리 감일역점,일식당,tensor([[0.3122]])
137,삼동소바 하남미사점,일식당,tensor([[0.2971]])
138,유우조우,일식당,tensor([[0.3143]])
139,멜팅슬로우,카페,tensor([[0.2899]])
140,우리동네 참치정육점(미사점),일식당,tensor([[0.3142]])
141,누커스,카페,tensor([[0.2981]])
142,화로상회 하남감일점,고기,tensor([[0.3054]])
143,노티드 하남 스타필드,카페,tensor([[0.2488]])
144,마시내 하남감일점,중국집,tensor([[0.2972]])
145,멕시카나치킨 하남풍산점,치킨,tensor([[0.3765]])
146,하노이 맥주밤거리 하남미사역점,식당,tensor([[0.1624]])
147,반미362 하남미사점,아시안 음식,tensor([[0.2767]])
148,소소떡볶이 하남미사점,분식,tensor([[0.2504]])
149,키치 플레이트,양식,tensor([[0.1627]])
150,히츠지야 하남미사점,양식,0.0
