,name,position,total_distance,total_time
68,화포식당 감일점,"경기 하남시 감일백제로180번길 17 1층 111, 112호",9638,7518
69,한회장댁,경기 하남시 신장1로 12 1층 103호,5131,4146
70,춘리마라탕 미사점,경기 하남시 아리수로 570 1층 1072호,1212,1008
71,모랑 하남지산IS점,경기 하남시 미사대로 510 1층 107호,1894,1527
72,생마차 하남미사점,"경기 하남시 미사강변중앙로 180 힐스테이트 그랑파사쥬 1029호,1061호",1821,1444
73,크닭,경기 하남시 신평로 39-13 1층,4877,3866
74,귀한족발 하남감일지구점,경기 하남시 감일백제로180번길 16 108~109호,9678,7547
75,솥단지 찹쌀순대국,"경기 하남시 미사대로 520 제1층 제씨씨01-022, 씨씨01-023호",1967,1638
76,플라워앤쭈,경기 하남시 미사강변동로 100-1 1098~1103호,1499,1186
77,딜리스볼,경기 하남시 미사강변대로226번안길 9 미사드림타워 1층 딜리스볼,1307,1188
78,게런티 홀덤 라운지,경기 하남시 신장로 156 2층 202호,4600,3634
79,힘난다버거 하남감일점,경기 하남시 감일중앙로 80 아클라우드상가 2층 G007호,9417,7360
80,행복소머리곰탕전문,경기 하남시 미사강변중앙로 189 1층 106호,1787,1448
81,시엠프레 그랑파사쥬,경기 하남시 미사강변중앙로 180 힐스테이트미사역그랑파사쥬11BL 2038호,1821,1444
82,츠카미치,경기 하남시 미사강변한강로 270-1 1층 130호,1335,1082
83,자담치킨 하남풍산점,경기 하남시 세미로1길 7,4181,3479
84,시온미반,경기 하남시 감일로 107 1층,9568,7410
85,떠오름 푸드,충북 청주시 서원구 수영로8번길 24,142725,110530
86,고메스퀘어 미사점,"경기 하남시 미사강변동로 95 지하 1층 1069호, 1096호",1690,1360
87,카페 포지타노,부산 동구 범일로 125 7F,-1,-1
88,상상오리 미사점,경기 하남시 미사강변중앙로 190 1층 179호,1735,1382
89,더피제리아마켓,경기 하남시 미사강변북로30번길 129 1층,1560,1262
90,삼산회관 하남미사강변점,경기 하남시 미사강변북로30번길 134 1층 101호,1534,1241
91,더노벰버라운지 하남감일점,경기 하남시 감일중앙로 80 아클라우드감일 상가2층 2074호,9417,7360
92,(주)더스윙제트 에프앤비,경기 하남시 미사강변중앙로158번길 27 8층 802호 일부,1931,1552
93,오빠(Oh BAR),부산 영도구 태종로 395-1,-1,-1
94,압구정화로구이 하남시청점,경기 하남시 대청로 38-8 1층,4605,3792
95,죽이야기 감일점,경기 하남시 감일중앙로 80 아클라우드 지하1층 B019호,9417,7360
96,봄봄 하남미사점,경기 하남시 미사강변한강로 135 나동 1층 164호,490,358
97,레알 청아간장게장,경기 하남시 미사강변중앙로 173 미사리버에비뉴 2층206호,1940,1557
98,아토키토 하남위례점,경기 하남시 위례중앙로 185 근린생활시설동 1층 14호,14387,11263
99,김뚜껑 부대찌개 미사역점,경기 하남시 미사강변중앙로 173 1층 106호,1940,1557
100,운미가,경기 하남시 미사강변대로34번길 100 1층 104호,2801,2262
101,미사정육왕,경기 하남시 미사강변중앙로170번길 12 1층,1953,1568
102,라스트춘선 하남점,"경기 하남시 미사강변중앙로 190 117호, 118호",1735,1382
103,밥밥디라라 하남미사강변점,경기 하남시 미사강변대로54번길 75 101호,2959,2401
104,또래오래 북위례점,경기 하남시 위례학암로 25 지하1층,12696,9846
105,디디키키 베이커리,경기 하남시 감일백제로 165-1 상가동 지1층 105호,9992,7800
106,참살이 샐러드,경기 하남시 하남대로 747 하남두산위브파크 1층 102호,5037,4063
107,마장동 정 순대국,경기 하남시 미사강변서로 25 제RB113호 (지상 1층 CU편의점 옆),3438,2742
108,시선 하남미사점,"경기 하남시 미사강변중앙로 180 1층 1026, 1027호",1821,1444
109,우리할매떡볶이 하남미사점,경기 하남시 미사강변대로226번안길 25 1층 우리할매 떡볶이,1357,1183
110,처갓집양념치킨 감일점,"경기 하남시 감일백제로83번길 24 115호(감이동, G골든프라자)",10408,8115
111,탕화쿵푸 감일점,경기 하남시 신우실로 67 2층 203호,9761,7625
112,편백가원 하남미사점,"경기 하남시 미사강변중앙로 193 2층 204, 205호",1735,1411
113,한남동그집 현대지식산업센터2차점,경기 하남시 미사대로 520 DC01-027호,1967,1638
114,브라운돈까스 하남감일점,경기 하남시 감일백제로180번길 17 1동 121호 브라운돈까스,9638,7518
115,딤타오 하남스타필드점,경기 하남시 미사대로 750 1층 G272호,4661,3740
116,산드르 한방약초 샤브,경기 하남시 미사동로40번길 75-7 . 1층,1449,1181
117,한솥도시락 미사2동점,경기 하남시 미사강변대로226번길 14 109호,1603,1320
118,갈속집 하남시청역점,경기 하남시 신평로 66 1층,4717,3802
119,겟레디커피(Get Ready Coffee),경기 하남시 미사강변동로 127 경서타워 1층 110호,1396,1141
120,인생장칼 하남풍산점,경기 하남시 하남대로 947 D동 1층 105호,4059,3364
121,하하족발,경기 하남시 미사강변동로 95 지하 1층 1036호,1690,1360
122,호빈초밥,경기 하남시 미사강변중앙로 189 115호,1787,1448
123,별룸포차,경기 하남시 미사강변중앙로 220 12층 1205호,1433,1167
124,우대포 미사직영점,경기 하남시 미사강변동로 100-1 판매시설동 1030호,1499,1186
125,테이스트앤드테이스트 피자 스탠드 하남 스타필드점,경기 하남시 미사대로 750 3층,4661,3740
126,야마이루식 우동,서울 용산구 서빙고로 17 몰동 1층 1059호,25822,20481
127,무청감자탕 한강미사점,경기 하남시 미사대로 520 현대지식산업센터2차 C동 2층 22호,1967,1638
128,브런치&카페 알로(Brunch&Cafe allo),경기 하남시 미사강변한강로 165 AC01-25호 카페알로,381,274
129,철길부산집 하남감일점,경기 하남시 신우실로 73 1층 107호,9817,7665
130,미사맛집 배째 닭한마리 칼국수,경기 하남시 미사강변중앙로 220 107호 미사맛집배째닭한마리칼국수,1433,1167
131,원시족,경기 하남시 위례대로 190 1층 165호,13906,10912
132,하남냉삼0458,"경기 하남시 미사대로 550 C1-093,C1-094호",2268,1853
133,청년분식 하남미사점,경기 하남시 미사대로 520 1층 DC01-026호,1967,1638
134,콘부 스타필드하남,경기 하남시 미사대로 750 3층 잇토피아,4661,3740
135,바우네 나주곰탕 감일점,경기 하남시 감일백제로180번길 17 225호,9638,7518
136,한신포차 하남감일점,경기 하남시 감일중앙로 80 G001호 (101동 상가1층),9417,7360
137,응큼떡볶이 미사점,경기 하남시 미사대로 410 미사강변 오벨리스크 1층 170호,954,784
138,홍미닭발 하남미사점,경기 하남시 미사강변중앙로204번길 21 1층 104-2호 홍미닭발 하남미사점,1488,1235
139,요네즈,경기 하남시 감일중앙로 80 2005~2007호,9417,7360
140,정오리 돌판구이,경기 하남시 미사강변북로30번안길 20 1층,1585,1335
141,79대포 하남풍산점,경기 하남시 덕풍서로 80 114호,2631,2141
142,춘향골 남원추어탕 미사점,"경기 하남시 덕풍서로 80 112, 113호",2631,2141
143,오모로이 쇼쿠도,경기 하남시 감일중앙로 80 아클라우드 2층 2008호,9417,7360
144,리리삼,경기 하남시 수리북로34번길 3 1층,4380,3448
145,도마르 스시,경기 하남시 미사강변한강로 270-1 1-198,1335,1082
146,젠가든(Zen Garden),경기 하남시 미사동로 41 3층 젠가든,1053,868
147,스시 시오미즈,경기 하남시 미사강변동로 95 힐스테이트 미사 역그랑파사쥬 12-1BL 2층 2094호,1690,1360
148,박승광 해물 손칼국수 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 143호,490,358
149,카페 아리온,경기 하남시 덕산로 80-11,4864,3966
150,김복남맥주 하남미사역점,"경기 하남시 미사강변중앙로 160 1층 104, 106호",2076,1654
151,투다리 감일역점,경기 하남시 감일백제로180번길 20,9671,7542
152,삼동소바 하남미사점,"경기 하남시 미사동로 68 1층 101, 105호",1322,1090
153,유우조우,경기 하남시 미사강변한강로158번길 48 1층 유우조우,609,509
154,멜팅슬로우,경기 하남시 미사강변북로30번길 37 1층 102호 멜팅슬로우,1543,1246
155,우리동네 참치정육점(미사점),경기 하남시 미사강변중앙로 193 지2 1층 105호 우리동네 참치정육점 하남미사점,1735,1411
156,누커스,경기 하남시 미사강변중앙로 212 203호 누커스,1489,1265
157,모두의 죽 하남점,경기 하남시 조정대로 150 아이테코 블루존 지하1층 모두의주방 2호실,2921,2404
158,화로상회 하남감일점,"경기 하남시 감일순환로 55 2층 203, 204호",9847,7656
159,노티드 하남 스타필드,경기 하남시 미사대로 750 하남스타필드 1층,4661,3740
