,name,position,total_distance,total_time
304,고래맥주창고(하남미사점),경기 하남시 미사강변동로 121 더랜드시티 106호 고래맥주창고 하남미사점,1445,1177
305,육회바른연어 하남신장점,경기 하남시 신평로 68,4710,3797
306,별난아재맥주 하남미사점,경기 하남시 미사강변한강로158번길 52 1층 101호,623,519
307,플로피(floffee),경기 하남시 미사대로 540 현대지식산업센터 한강미사2차 B동 113호,2138,1760
308,라홍방마라탕 감일점,경기 하남시 감일백제로 89 성준프라자 1층 5~6호,10501,8181
309,타타스 하남미사점,경기 하남시 미사강변대로 206 1층 105호,1402,1245
310,릴리 시나몬,경기 하남시 미사강변중앙로 200 B동 1층 126호,1573,1269
311,화포식당 미사강변점,"경기 하남시 미사강변한강로 165 A동 216호,217호",381,274
312,뱃살도둑 감일점,경기 하남시 감일백제로 161 감일월드퍼스티 2층 202호,9924,7779
313,카페 루가노,경기 하남시 감일로102번길 1 1층 카페 루가노,9633,7456
314,삼형제김밥 미사점,경기 하남시 미사강변대로 212 1층 118호,1662,1332
315,도미노피자 하남감일점,경기 하남시 감일로88번길 20 1층,9845,7671
316,코우게츠,경기 하남시 미사강변동로 95 1층 1040호,1690,1360
317,우리동네밥집 미사본점,경기 하남시 미사강변동로 72 102호 우리동네밥집 김밥&집밥 미사본점,1877,1485
318,백제가,경북 상주시 아리랑고개2길 19,-1,-1
319,효하우스 골목길포차,경기 하남시 수리북로 10-9 1층,4622,3653
320,홍그린 로얄 스페셜,경기 하남시 아리수로 570 1층 1093호,1212,1008
321,사계진미 하남점,서울 송파구 거마로3길 4 2층,11558,9006
322,몽땅만두 미사역점,경기 하남시 미사강변동로 70 더 오페라1,1825,1448
323,육이구낙곱새 하남미사점,경기 하남시 미사강변한강로220번길 51 1층 102호,831,740
324,메이창,"경기 하남시 미사강변대로226번길 64 201호, 202호",1248,1105
325,돈까스짱 미사점,경기 하남시 미사강변대로226번안길 25 1층 114호 돈까스짱 미사점,1357,1183
326,비비큐 위례스타필드점,경기 하남시 위례대로 220 상가동125호,13659,10718
327,신사꽃등심 미사직영점,"경기 하남시 미사강변동로 100-1 1층 1106, 1107호",1499,1186
328,팔당돼지수제갈비,"경기 하남시 미사대로 510 1층 104호, 105호, 106호",1894,1527
329,밥두공,경기 하남시 미사강변대로 80 그린프라자,2742,2188
330,아빠찜 미사역점,경기 하남시 미사강변중앙로 200 114호 아빠찜 미사역점,1573,1269
331,취향마라마라탕 하남미사점,경기 하남시 미사강변대로226번길 30 망월동 스마트프라자 1층,1273,1159
332,청년부찌냉삼,경기 하남시 미사강변중앙로 11 122~123호,3666,3053
333,고돼지 하남점,경기 하남시 미사강변동로 125 푸르지오시티 상가 A동 229호,1351,1108
334,청년감자탕순대국 하남미사점,경기 하남시 미사강변중앙로 11 두산 더프론트 미사 1층 118호,3666,3053
335,냐항바바바 미사역점,경기 하남시 미사강변동로 100-1 미사파라곤스퀘어 1111호,1499,1186
336,클린7080라이브,경기 하남시 미사대로 460 디스트릿 4층,1394,1149
337,치킨갱스터 미사점,경기 하남시 미사강변한강로 135 다동 2층 222호,490,358
338,봉자 막창 하남미사점,"경기 하남시 미사강변남로 99 더 오페라2 109, 110호",1960,1573
339,12인치 사운드바,경기 하남시 미사강변중앙로 219 2층 206호,1472,1224
340,설하네 디저트,경기 하남시 학암동 6-5,12374,9569
341,저돌 쪽 갈비찜,"경기 하남시 덕풍동로 111-10 . 1층 A-105, A-106호",3189,2542
342,탑탑 다이너(TopTop Diner),경기 하남시 미사강변동로 100-1 파라곤스퀘어 1105호 건물 뒷편 테라스라인(내부연결X,1499,1186
343,마라입구 미사점,경기 하남시 미사강변대로34번길 90 1층115호,2892,2324
344,김준호의 대단한갈비 하남미사로데오점,경기 하남시 미사강변한강로 279 117호,1149,907
345,맘스터치 하남미사점,경기 하남시 미사강변대로 208,1710,1366
346,키토분식 미사역점,경기 하남시 미사강변동로 127 경서타워 106호,1396,1141
347,파슷타애요 하남점,서울 강동구 양재대로115길 56 1층,8074,6404
348,올라잇(holaeat),경기 하남시 신우실로 73 뉴욕타워 1층 108호,9817,7665
349,잭슨피자 하남미사점,경기 하남시 미사강변남로 33 황금프라자 102호,2561,2058
350,하남돼지집 미사숲공원점,경기 하남시 미사강변대로54번길 15 1층,3010,2438
351,국밥쟁이(풍산점),경기 하남시 조정대로 45 지하1층 알비110호,3576,2843
352,삼촌네 조개찜,"경기 하남시 미사강변남로 87 미사스타파크오피스텔 상가 1층104,105호",2131,1723
353,솔라멘,경기 하남시 미사강변한강로 136 큰가람루 1층,616,476
354,리스닝커피로스터스,경기 하남시 하남대로933번길 16 온화한가 1층,4048,3177
355,미사대패,경기 하남시 미사강변중앙로 185 209~211호,1829,1479
356,파스타어때 하남미사본점,경기 하남시 미사강변동로 125,1351,1108
357,만선호프 하남미사점,"경기 하남시 미사강변중앙로 181 (망월동) 122,123호",1869,1507
358,완판도 미사점,경기 하남시 미사강변동로 95 힐스테이트미사역 그랑파사쥬 12-1BL 1층 1053호,1690,1360
359,신사동인동 하남점,경기 하남시 미사강변한강로 279 106호,1149,907
360,화복칼국수,경기 하남시 하남대로 747 상가 1층 135호 화복칼국수,5037,4063
361,찐한삼촌,경기 하남시 검단산로218번길 11,6066,4858
362,카페키노(KAFE KINO),경기 하남시 미사강변한강로 135 스카이폴리스 나동 163호,490,358
363,스테이미사 브런치&레스토랑,경기 하남시 미사강변동로 95 12블럭 2층 2010호,1690,1360
364,마마쿡 미사점,경기 하남시 미사강변대로226번안길 35 청담프라자 1층,1377,1197
365,일동실비 하남덕풍점,경기 하남시 신장로 164 1층,4433,3510
366,스와(soir),경기 하남시 미사강변한강로136번길 25 수란가옥 1층,534,485
367,꾸브라꼬 숯불두마리치킨 위례점,경기 하남시 위례대로 190 135호,13906,10912
368,원조 양평해장국 미사점,"경기 하남시 미사강변중앙로 174 해링턴타워 레이크파크 2층 202호, 203호",1907,1505
369,동동밤,경기 하남시 미사강변중앙로 180 힐스테이트 미사역 그랑파사쥬 1층 1004호,1821,1444
370,미분당 하남미사점,경기 하남시 미사강변대로226번안길 35 청담프라자 1층 109호,1377,1197
371,노랑통닭 하남감일점,경기 하남시 감일백제로 155 112호,10002,7835
372,미려돈,경기 하남시 미사강변중앙로 220 1층 101호,1433,1167
373,꾸브라꼬 숯불두마리치킨 감일점,경기 하남시 감일로 126 1층,9373,7271
374,프랭크버거 하남점,경기 하남시 미사강변대로34번길 72 골든프라자 1층 106호,2955,2399
375,홍윤곰탕,경기 하남시 조정대로 45 미사센텀비즈R142,3576,2843
376,샤오바오 미사점,"경기 하남시 미사강변동로 81 미사역 큐브앤타워 109호, 110호",1753,1395
377,춘옥이네,경기 하남시 미사강변중앙로 161 2층 209호,2048,1635
378,빙츄르 미사호수공원점,경기 하남시 미사강변중앙로 181 더퍼스트테라스 312호,1869,1507
379,생활맥주 하남미사점,경기 하남시 미사강변중앙로 181 퍼스트테라스 120호 생활맥주 하남미사점,1869,1507
380,파티인테이블,경기 하남시 미사대로 520 DC동 2층 233호,1967,1638
381,에바돈가츠 감일점,경기 하남시 신우실로 61 120호,9726,7570
382,목삼고집,경기 하남시 미사강변중앙로 181 더퍼스트테라스 1층 109호,1869,1507
383,가마솥순대국밥 미사중앙점,"경기 하남시 미사강변중앙로 173 . 107,108호(망월동, 미사 리버에비뉴)",1940,1557
384,와이디푸드 하남점,서울 강동구 천중로35가길 57,7590,6004
385,365 한쌈,경기 하남시 미사강변중앙로198번길 29 1층 117호,1490,1210
386,철뚝집 하남미사점,경기 하남시 미사강변서로 16 하우스디스마트밸리 지하1층 170호,3427,2738
387,인생아구찜 하남점,경기 하남시 수리북로34번길 14 1층,4417,3477
388,스시코호시 미사,"경기 하남시 미사강변동로 100-1 2층 2008호(망월동, 미사 역 파라곤 스퀘어)",1499,1186
389,헤라스 빈야드,경기 하남시 미사강변동로 125 미사푸르지오시티A동 121호,1351,1108
390,가고파 커피호프,경기 하남시 신평로 78,4601,3719
391,백채김치찌개 미사역점,경기 하남시 미사강변한강로 270-1 1층 200호,1335,1082
392,후라토식당 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 2층 213호,490,358
393,아담스 꼬마김밥 위례점,경기 하남시 위례대로 220 위례지웰푸르지오 상가동 103호,13659,10718
394,미태리 하남감일점,경기 하남시 감일백제로180번길 20 반도유스퀘어 2층 203호,9671,7542
395,라홍방마라탕 미사역점,경기 하남시 미사강변동로 73 노블레스상가 111호,1839,1486
396,로스트피그 미사,경기 하남시 미사강변북로30번길 105 1층,1687,1382
397,그린콕(Green Cok),경기 하남시 감일백제로180번길 20 1층 102호,9671,7542
398,타붕,경기 하남시 세미로1길 5 B02호,4129,3442
399,매일의 식탁,경기 하남시 미사강변한강로 270-1 호반써밋 상가 1층 206호,1335,1082
400,청년다방 감일점,경기 하남시 감일백제로 161 월드퍼스티 110호,9924,7779
401,봉명동내커피 하남미사점,경기 하남시 미사강변한강로346번길 7 1층,1856,1501
402,빅빅버거 하남미사점,경기 하남시 미사강변중앙로198번길 35 1층 101호,1436,1169
403,띤띤 드 타마린드 하남스타필드점,경기 하남시 미사대로 750 1층 스타벅스옆,4661,3740
404,오한수 우육면가 하남미사점,경기 하남시 미사대로 520 1층 D동 C-115호,1967,1638
405,자연미당 추어탕,"경기 하남시 미사강변한강로 155 강변에스케이브이1센터 제1층 제근생141호, 142호, 143호",212,156
406,감탄밥상,경기 하남시 미사강변한강로220번길 43,797,718
407,생활맥주 위례점,경기 하남시 위례대로 220 지웰푸르지오 상가 101A호,13659,10718
408,우리 할매 떡볶이 하남감일점,경기 하남시 감일백제로83번길 24 1층 111호,10408,8115
409,버거 스테이지 하남미사점,경기 하남시 미사강변한강로 135 가 119호,490,358
410,77년생 곱도리 전골식당 미사직영점,경기 하남시 미사강변동로84번길 29 미사역헤리움애비뉴어 1층 미사 맛집 77년생 곱도리,1828,1421
411,일일양 미사직영점,경기 하남시 미사강변중앙로 200 1층 127호,1573,1269
412,온달집 미사역점,"경기 하남시 미사강변동로 95 힐스테이트 미사역 그랑파사쥬 1층 1020호, 1021호",1690,1360
413,솔솥 미사강변점,경기 하남시 미사강변중앙로 185 골든타임 115호,1829,1479
414,카츠몬,경기 하남시 미사대로 520 현대지식산업센터2차 C동104호,1967,1638
415,맘스터치 피자앤치킨 하남시청역점,경기 하남시 하남대로 792,4678,3745
416,철길부산집 하남미사점,경기 하남시 미사강변중앙로 190 1층,1735,1382
417,토리아에즈 미사역점,경기 하남시 미사강변동로 95 힐스테이트미사역그랑파사쥬 1층 1024호,1690,1360
418,페이브 베이커리 미사역점,경기 하남시 미사강변동로 95 1층 1150호,1690,1360
419,미사냉삼집,경기 하남시 미사강변중앙로 221 1층 114호,1456,1213
420,여우애김밥 하남U1센터점,경기 하남시 하남대로 947 B동 115호,4059,3364
421,아담스꼬마김밥 미사점,경기 하남시 미사강변중앙로 174 해링턴타워레이크파크 1층 103호,1907,1505
422,신계닭갈비 미사점,경기 하남시 미사강변중앙로 193 1층 106호,1735,1411
423,브리즈번 버거앤비어 하남미사역점,경기 하남시 미사강변중앙로 181 1층 104호,1869,1507
424,육회바른연어 미사점,경기 하남시 미사강변중앙로 180 힐스테이트 미사역 그랑파사쥬 1층 1009호(망월동),1821,1444
425,게장맨,경남 함안군 가야읍 함마대로 1382 1층,-1,-1
426,소코아 하남미사점,경기 하남시 미사강변북로30번길 79 1층,1761,1430
427,미사전,경기 하남시 미사강변한강로136번길 9 1층,547,465
428,동래정 하남미사점,경기 하남시 미사강변중앙로 185 1층,1829,1479
429,60계치킨 경기하남감일지구점,경기 하남시 신우실로 73 105호,9817,7665
430,온락도시락,"경기 하남시 하남대로 947 하남테크노밸리U1센터 A동166호, 167호 온락본점",4059,3364
431,신대포 불갈비 하남점,경기 하남시 신장로 156,4600,3634
432,전설낙곱새 위례송파점,경기 하남시 위례대로 190 152-1호,13906,10912
433,현야,경기 하남시 미사강변중앙로 190 142호,1735,1382
434,대한 냉면 미사점,경기 하남시 미사강변중앙로111번안길 13 1층,2523,2036
435,진대감 하남미사점,"경기 하남시 미사강변중앙로 185 2층 207호, 208호",1829,1479
436,비.마이 가든(B. my Garden),경기 양평군 옥천면 남한강변길 209 1층 비마이가든 양평본점,30214,23497
437,회장님댁 하남신장점,경기 하남시 신평로 59 2층,4750,3797
438,벤탄빌라 미사점,"경기 하남시 미사강변남로 87 스타파크 117호, 118호",2131,1723
439,맘스터치 미사강변대로점,경기 하남시 미사강변대로 80 그린프라자 2층 201호,2742,2188
440,팔각도 하남미사역점,"경기 하남시 미사강변중앙로204번길 21 1층 105호, 106-1호",1488,1235
441,(주)바운스 슈퍼파크 하남센터,경기 하남시 미사강변한강로 135 스카이폴리스 나동 지하1층 B151 바운스,490,358
442,조선육회 하남점,경기 하남시 하남대로784번안길 17 조선육회 하남점,4576,3685
443,저돌 쪽 갈비찜,"경기 하남시 덕풍동로 111-10 . 1층 A-105, A-106호",3189,2542
444,째깍섬 키즈클래스 하남,"경기 하남시 미사강변한강로 135 미사스카이폴리스 나동 2층 251, 252호",490,358
445,이가원(한식뷔페),경기 하남시 미사강변중앙로7번안길 25,3697,3076
446,빽다방 미사센트럴자이점,경기 하남시 미사강변대로 84 1층 106호,2699,2157
447,비비큐 풍산중앙점,경기 하남시 세미로1길 5 힐즈파크프라자 1층 104호,4129,3442
448,제주은희네해장국 하남미사점,"경기 하남시 미사강변중앙로 185 골든타임 101호, 102호",1829,1479
449,고기미담 경기하남점,서울 강동구 천호대로193길 40 B01호,7652,6042
450,김가네 미사스카이폴리스점,경기 하남시 미사강변한강로 135 스카이폴리스 124호,490,358
451,타이반쩜 하남미사점,경기 하남시 미사강변중앙로 190 1층 145호,1735,1382
452,모모타코야끼 하남점,경기 하남시 미사강변한강로 135 스카이폴리스 지하1층 B170호,490,358
453,고피자 하남미사점,경기 하남시 아리수로 570 1층 1073호,1212,1008
454,탐라포차 미사강변점,"경기 하남시 미사강변중앙로 185 2층 213호, 214호",1829,1479
455,다루마 고로케,경기 하남시 미사강변동로84번길 39 110호 (에코타워),1476,1197
456,소플러스서하남점,경기 하남시 감초로 64,8257,6444
457,가마치통닭 덕풍시장점,경기 하남시 하남대로861번길 43 (덕풍동),4310,3408
458,후우스,경기 하남시 미사대로 520 현대지식산업센터 한강미사2차 D동 2층 254호,1967,1638
459,벤앤제리스 하남미사  DV점,경기 하남시 미사강변대로 76 베스트프라자 203호,2790,2222
460,한채당 베이커리,경기 하남시 미사동로 52-18 한채당 베이커리카페,1278,1064
461,굽네치킨 감일지구점,경기 하남시 감일백제로 89 성준프라자 101호,10501,8181
462,초가네장어구이 하남점,경기 하남시 하남대로801번길 65 105호,4881,3936
463,세광양대창 하남미사점,경기 하남시 미사강변중앙로 185 골든타임 106-107호,1829,1479
464,드로게리아,경기 하남시 미사동로 102-17 드로게리아,1754,1403
465,그린호미(Green Homee),"경기 하남시 미사강변서로 16 지하1층 RB155호(풍산동, 하우스디스마트밸리)",3427,2738
466,안나스낵 미사역점,경기 하남시 미사강변중앙로 174 헤링턴타워레이크파크 110호,1907,1505
467,야키토리 미사(Yakitori misa),경기 하남시 미사강변동로 95 그랑파사쥬 1층 YAKITORI 미사 짱오락실 앞,1690,1360
468,푸드박스 송파점,경기 하남시 감일로105번안길 19 1층 푸드박스 송파점,9673,7495
469,훈초밥 미사본점,경기 하남시 미사강변중앙로 200 (e편한세상 시티 미시) 130호,1573,1269
470,가나점보돈까쓰,경기 남양주시 오남읍 양지로278번길 42 가동 102호,27870,22262
471,달빛과일 하남점,경기 하남시 덕풍공원로 47 1층,4571,3640
472,마라이쉔,경기 하남시 하남대로783번길 28 일부호,4716,3783
473,브런치빈 미사점,"경기 하남시 미사강변중앙로 173 미사리버에비뉴 2층 210호, 211호",1940,1557
474,에이트리 카페,경기 하남시 역말로 37 1층,5166,4071
475,Permanent Chillin' 퍼머넌트 칠린,경기 하남시 미사강변중앙로 181 더 퍼스트 테라스 3층 315호,1869,1507
476,삼덕통닭 미사점,경기 하남시 미사강변중앙로 185 골든타임 1층 108호,1829,1479
477,천호용궁알탕 하남미사점,경기 하남시 미사강변중앙로 190 281호,1735,1382
478,식껍 하남감일점,경기 하남시 감일백제로180번길 20 105호,9671,7542
479,피자미남 하남미사점,경기 하남시 미사강변동로 85 힐스테이트에코미사 1층,1759,1410
480,백스비어 하남 미사점,경기 하남시 미사강변중앙로 218 1층 백스비어,1355,1119
481,스푸키(Spookie),경기 하남시 미사강변서로 16 RB 173,3427,2738
482,종로김밥 미사역점,경기 하남시 미사강변동로 95 2층 2053호,1690,1360
483,착한파스타 하남미사점,경기 하남시 미사강변대로226번길 26 1층,1247,1104
484,그린스미스&에그존 하남미사점,경기 하남시 미사강변동로 100-1 동양파라곤스퀘어 지하1층 B142호,1499,1186
485,파스쿠찌 하남감일DI점,경기 하남시 동남로 451,9702,7538
486,피자나라치킨공주 위례신도시점,경기 하남시 위례광장로 265 상가1동 107호,14028,11015
487,장가짜장 24시,경기 하남시 신장로 156,4600,3634
488,고기극찬 하남미사점,경기 하남시 미사대로 550 현대지식산업센터1차 3번게이트 25호,2268,1853
489,아리수 정육식당,경기 하남시 미사대로 380 하나로마트 하남농협 2층,675,510
490,이속우화 구우몽,경기 하남시 미사대로 750 L1층,4661,3740
491,안주가 하남미사점,경기 하남시 미사강변중앙로170번길 10 1층,1982,1592
492,풍미숯불꼼장어,경기 하남시 조정대로 45 미사센텀비즈 RB103호,3576,2843
493,미뜸,경기 하남시 미사강변중앙로 189 에코브리지2 3층 311호 미뜸,1787,1448
494,누들코드,경기 하남시 미사강변동로 85 2층 217호,1759,1410
495,카페시나몬가든,서울 강동구 고덕로 266 1층 108호,5129,4128
496,면면히,경기 하남시 미사강변대로34번길 90 메인프라자 114호,2892,2324
497,깐부 불쭈꾸미 동태탕,경기 하남시 대청로 15,4676,3809
498,유브유부 위례점,경기 하남시 위례대로 190 1층 168호,13906,10912
499,신전떡볶이 감일점,경기 하남시 감일순환로 35-1 상가동 104호 신전떡볶이 감일점,9694,7546
500,나무루,"경기 하남시 미사강변남로 99 106호, 107호",1960,1573
501,에이치 베이커,경기 하남시 신장1로15번길 55 1층,4831,3890
502,라멘온도,경기 하남시 미사강변동로84번길 29 1층 라멘온도,1828,1421
503,카츠소당 하남점,경기 하남시 미사대로 520 현대지식산업센터2차 C동 2층 223호,1967,1638
504,별에서 온 토끼,경기 하남시 미사강변중앙로 220 우성미사타워 111호,1433,1167
505,한결보쌈 하남점,경기 하남시 미사강변대로34번안길 19 에이스플라자 105호,3039,2400
506,포케올데이 하남미사점,경기 하남시 미사강변북로30번길 13 1층,1419,1157
507,이비티(ebt) 스타필드 하남점,경기 하남시 미사대로 750 스타필드 하남 1층 G269호,4661,3740
508,피자알볼로 감일거여점,경기 하남시 감일로102번길 6 1층,9693,7528
509,BBQ 하남미사중앙점,경기 하남시 미사강변한강로342번길 19 1층,1871,1542
510,삼백돈 돈가츠 하남미사점,경기 하남시 미사강변동로 85 힐스테이트 에코미사 1층,1759,1410
511,레이크 비스트로,경기 하남시 미사강변중앙로 217 미사호수의아침1층 레이크비스트로,1495,1240
512,토담옛날통닭 하남학암동점,경기 하남시 위례학암로14번길 35 경서타워 1 1층 102호,12698,9877
513,제이에이치 브루잉(JH Brewing),경기 하남시 미사강변서로 25 R125호,3438,2742
514,마라촉 마라탕&마라샹궈,경기 하남시 미사강변대로226번안길 15 상아프라자 1층 102호 (망월동),1647,1350
515,빽정,경기 하남시 미사강변중앙로 190 1층 127호,1735,1382
516,고기랑 조개당,경기 하남시 월호로 62 1동 1층 1호,2538,2094
517,미사국물닭발1982,"경기 하남시 미사강변한강로 10-1 상가동 110호, 108호",1823,1367
518,피자하우스 미사스마트밸리점,경기 하남시 미사강변서로 16 1층 R148호,3427,2738
519,싸다김밥 미사역점,경기 하남시 미사강변동로 73 1층 115호 싸다김밥 미사역점,1839,1486
520,궁사부,경기 남양주시 늘을1로16번안길 19 1층 궁사부,23712,18410
521,명품키친 하남점,경기 하남시 미사강변북로30번길 161 1층,1410,1156
522,바다동태탕솥밥전문점 하남풍산직영점,"경기 하남시 조정대로 45 B1층 RB115호, RB116호",3576,2843
523,스노우피크 랜드스테이션 하남,경기 하남시 미사동로 90 스노우피크 랜드스테이션 하남,1528,1237
524,교촌치킨 하남감일점,"경기 하남시 감일백제로 97 107호, 108호",10438,8136
525,애주꿀전,경기 하남시 미사강변중앙로 193 3층,1735,1411
526,소담지짐이 위례점,경기 하남시 위례대로 220 위례지웰푸르지오 상가동 1층 104A호,13659,10718
527,일품 양평해장국 하남미사점,경기 하남시 미사강변동로 95,1690,1360
528,소당깨,경기 하남시 미사강변중앙로 185 골든타임 미사호수공원방면 1층 소당깨,1829,1479
529,베스트생갈비찜&찜닭(하남점),경기 하남시 미사강변대로34번안길 19,3039,2400
530,등촌샤브칼국수 하남미사점,경기 하남시 미사강변남로 91 르보아파크2 2층 212호,2028,1624
531,테이블린 미사현대1차점,경기 하남시 미사대로 550 현대지식산업센터 한강미사1차 2층 39호,2268,1853
532,치이익,경기 하남시 미사강변중앙로 219 107호,1472,1224
533,미사텐,경기 하남시 미사강변동로84번길 29 2층 202호 [ 건물명 : 헤리움 애비뉴어 ],1828,1421
534,킹콩 부대찌개 하남현대한강미사점,경기 하남시 미사대로 540 하남현대산업지식센터2차 AB동 123호,2138,1760
535,배부장찌개 미사역점,경기 하남시 미사강변중앙로204번길 45 1층 110호111호,1381,1158
536,센텀바(CENTUM BAR),경기 하남시 조정대로 45 2층 r210호,3576,2843
537,최가다방,경기 하남시 서하남로 447 2층,7406,5722
538,동경규동 미사스퀘어점,경기 하남시 미사대로 520 C동 1층 C-132호,1967,1638
539,탐나종합어시장 미사역점,"경기 하남시 미사강변남로 91 르보아파크 2, 1층",2028,1624
540,홍송우렁쌈밥,경기 하남시 미사강변중앙로 218 성산타워 2층,1355,1119
541,감성낙곱새 하남미사점,경기 하남시 미사강변동로84번길 20 퀸즈파크미사1차 오피스텔 2층 204호,1832,1454
542,스카이블랑,경기 하남시 미사강변중앙로170번길 12 미사신성타워 10층 1002호,1953,1568
543,디리포소,경기 하남시 감일로102번길 40 상가 1층 102호,9692,7531
544,호수꼬치 하남신장점,경기 하남시 신평로 53 1층,4818,3847
545,리틀 블루문(LITTLE BLUE MOON),경기 하남시 미사강변한강로158번안길 12 1층 리틀블루문,712,573
546,마라의 민족 미사점,경기 하남시 미사강변한강로158번안길 37 102호,487,422
547,BBQ 하남미사역점,경기 하남시 미사강변중앙로198번길 29 미사푸르지오시티 B동 1층 B-106호,1490,1210
548,달빛오징어광어미사점,경기 하남시 미사강변중앙로 189 에코브리지2 1층 120호,1787,1448
549,피플 파스타(PEOPlE),서울 강남구 도산대로81길 13,17290,13652
550,만차이,경기 하남시 미사강변한강로158번길 5 101 호,359,301
551,꿀꿀진순대 미사점,경기 하남시 미사강변서로 22 에코큐브 지식 산업센터 1층 108호,3394,2682
552,푸라닭 하남신장점,경기 하남시 신장동로 35 푸라닭치킨 하남 신장점,4347,3452
553,육감적,경기 하남시 미사강변한강로158번길 67 미사빌딩 1층,701,546
554,하남찌개마을 국내산냉삼,"경기 하남시 감일순환로 55 101호, 102호",9847,7656
555,피자컴퍼니 감일 마천점,경기 하남시 감일백제로 20 상가1층 104호,11322,8842
556,미라밸리 가왕 Retro TV,경기 하남시 신평로 14 지하1층,5192,4111
557,광수육회 하남미사점,경기 하남시 미사강변동로 125 미사푸르지오시티A동 S101호,1351,1108
558,포메인 RED 하남미사점,경기 하남시 미사강변동로 85 1층,1759,1410
559,비와별닭갈비 스타필드 위례점,경기 하남시 위례대로 200,13812,10847
560,보길도황칠면역삼계탕,경기 하남시 미사강변남로 125 마이움푸르지오시티 101동 2층 209호,1856,1470
561,퀸즈 당구장,경기 하남시 신장로136번길 7 2층,4753,3741
562,오더밀,경기 하남시 미사강변동로 73 6층 623호,1839,1486
563,감일돈,경기 하남시 감일백제로83번길 24 201호 2층 감일돈,10408,8115
564,흥도식당 하남점,"경기 하남시 미사대로 520 현대지식산업센터 2차 C동 2층 230,231호",1967,1638
565,팔당 북촌골 미사점,경기 하남시 미사대로 550,2268,1853
566,추닭집 미사2호점,경기 하남시 미사강변중앙로111번길 4 102호,2553,2053
567,마왕족발 하남감일점,경기 하남시 감일순환로 55 1층 106호,9847,7656
568,배가 푸지미,경기 하남시 신평로55번길 41,4632,3657
569,경성나루,서울 송파구 백제고분로39길 11 104호,13723,10901
570,매머드익스프레스 미사현대2차점,경기 하남시 미사대로 540 A-C 123호,2138,1760
571,황산 참치 테스타타워점,경기 하남시 미사강변서로 25 1층 황산참치(RB 107호),3438,2742
572,김가네 미사현대1차점,"경기 하남시 미사대로 550 1층 c-1-048,049호",2268,1853
573,아부찌부대찌개 하남감일점,경기 하남시 감일순환로 95-1 상가 103호,9486,7405
574,설맥 미사점,"경기 하남시 미사강변중앙로 208 105호,106호",1543,1303
575,푸라닭 하남감일점,경기 하남시 신우실로 65,9733,7605
576,길동우동 미사점,경기 하남시 미사강변중앙로204번길 22,1556,1254
577,동명카츠 하남덕풍점,경기 하남시 덕풍북로 251,3523,2776
578,감동노가리,경기 하남시 미사강변한강로 270-1,1335,1082
579,효정패밀리아카페,경기 하남시 미사강변대로226번안길 35 2층 효정패밀리아카페,1377,1197
580,사나이 순대국,경기 하남시 신우실로 61 . 102호,9726,7570
581,할머니가래떡볶이 미사호수공원점,경기 하남시 미사강변중앙로 219 레이크힐 104호,1472,1224
582,Bhc(비에이치씨) 미사호반점,경기 하남시 미사강변한강로 270,1359,1102
583,한끼홈쿡 미사본점,경기 하남시 미사강변대로 84 1층 한끼홈쿡 미사본점,2699,2157
584,동백연화 미사점,경기 하남시 미사강변중앙로158번길 27 107.108,1931,1552
585,몸신 흑염소전문점,경기 하남시 검단산로 333,6299,5006
586,진1926 하남미사,경기 하남시 미사대로 520 현대지식산업센터 한강미사 2차 D동 2층 242호,1967,1638
587,청담동마녀김밥 미사점,경기 하남시 미사강변동로 85 힐스테이트 에코 미사 1층 112호,1759,1410
588,프랭크버거 하남강변로점,경기 하남시 미사강변대로226번길 9 106호,1557,1228
589,황금코다리 하남 검단산점,경기 하남시 검단산로 275 2층 황금코다리 하남검단산점,5707,4569
590,뱃살도둑 미사점,경기 하남시 아리수로 570 효성헤링턴타워더퍼스트 1층 1081호,1212,1008
591,유로코피자 위례신도시점,경기 하남시 위례대로 190 (위례 효성해링턴 타워) 156호,13906,10912
592,구석집 하남미사점,경기 하남시 미사강변남로 91 (망월동),2028,1624
593,블리스버거 하남감일점,경기 하남시 감이동 248-9,10412,8117
594,허니문한방삼계탕,경기 하남시 감이남로 50,11891,9291
595,카페 보케리아,경기 하남시 미사대로 556,2303,1878
596,니하오마라탕 신장점,경기 하남시 신장로 139,4689,3723
597,곱분이곱창 감일점,"경기 하남시 신우실로 61 ,101호",9726,7570
598,바다커피&호프,경기 하남시 신평로 68,4710,3797
599,동경규동 하남점,경기 하남시 조정대로 150 아이테코 블루존 B1층 101호,2921,2404
600,폴트버거 스타필드 하남점,경기 하남시 미사대로 750 3층,4661,3740
601,해품장 팔팔장어 하남미사점,경기 하남시 미사대로 510 아이에스비즈타워 2층,1894,1527
602,지호한방삼계탕 미사점,경기 하남시 미사대로 410 (미사강변오벨리스크) 3층 318호,954,784
603,BBQ 하남망월점,경기 하남시 미사강변남로 125 미사역마이움푸르지오 102동 1층 123호,1856,1470
604,호식이두마리치킨 하남미사역점,"경기 하남시 미사강변한강로 295 118호, 119호",1262,987
605,두꺼비토종 순대국,경기 하남시 하남대로801번길 65 101호 두꺼비토종순대국,4881,3936
606,맘스터치 하남감일점,경기 하남시 감이동 81-3,9720,7595
